"","artist","title","price","classification","url"
"138","Debbie DeWitt","Cafe Chalkboard","$25","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/cafe-chalkboard-debbie-dewitt.jpg"
"139","James W Johnson","Hawkish","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/hawkish-james-w-johnson.jpg"
"140","Anastasija Kraineva","Spring In Unison","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/spring-in-unison-anastasija-kraineva.jpg"
"141","Elena Yakubovich","Camelot -  The Way To Ancient Times - Elena Yakubovich","$20","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/camelot-the-way-to-ancient-times-elena-yakubovich-elena-yakubovich.jpg"
"142","Elisabeta Hermann","The Musician And Her Golden Tool","$1,350","Original","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-musician-and-her-golden-tool-elisabeta-hermann.jpg"
"143","Elisabeta Hermann","The Healing Process - From The Eternal Whys Series","$27","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-healing-process-from-the-eternal-whys-series-elisabeta-hermann.jpg"
"144","Megan Duncanson","Spring Shine By Madart","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/spring-shine-by-madart-megan-duncanson.jpg"
"145","Pat Erickson","Sunhorse","$38","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/sunhorse-pat-erickson.jpg"
"146","Isabella Kung","2 Ugly Trolls","$26","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/2-ugly-trolls-isabella-kung.jpg"
"147","Beverly Brown Prints","Woman In Plaid Skirt And Big Sunglasses Fashion Illustration Art Print","$30","Painting","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/woman-in-plaid-skirt-and-big-sunglasses-fashion-illustration-art-print-beverly-brown-prints.jpg"
"148","Dan Keough","Did You See That","$17","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/did-you-see-that-dan-keough.jpg"
"149","Richard Young","The Passion Of Dance","$22","Painting","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/the-passion-of-dance-richard-young.jpg"
