"","artist","title","price","classification","url"
"2422","Tom Cheney","A Shoe Salesman Browses The Selection Of Shoes","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-shoe-salesman-browses-the-selection-of-shoes-tom-cheney.jpg"
"2423","Michael Maslin","A Woman Complains About The Talking Noise","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-woman-complains-about-the-talking-noise-michael-maslin.jpg"
"2424","Barbara Smaller","A Woman With Luggage Confronts Her Husband","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-woman-with-luggage-confronts-her-husband-barbara-smaller.jpg"
"2425","Matthew Diffee","A Director Talks To Actors Between Takes","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-director-talks-to-actors-between-takes-matthew-diffee.jpg"
"2426","Edward Steed","A Man On A Raft Paddles Away From A Desert Island","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-on-a-raft-paddles-away-from-a-desert-island-edward-steed.jpg"
"2427","John O'Brien","Man Fishes Stars Out Of His Pool At Nighttime","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/man-fishes-stars-out-of-his-pool-at-nighttime-john-obrien.jpg"
"2428","Adam Cooper","Two Scientists Look At A Complicated-looking","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/two-scientists-look-at-a-complicated-looking-adam-cooper.jpg"
"2429","Roz Chast","Popeye Lies On A Couch At Psychiatrist. Speaks","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/popeye-lies-on-a-couch-at-psychiatrist-speaks-roz-chast.jpg"
"2430","Jack Ziegler","A Man And Woman Leave Costco With A Large Amount","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-man-and-woman-leave-costco-with-a-large-amount-jack-ziegler.jpg"
"2431","Paul Noth","A Bobbing Duck Toy Is Dipping Its Beak","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-bobbing-duck-toy-is-dipping-its-beak-paul-noth.jpg"
"2432","Roz Chast","The Farm-to-sofa Movement","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-farm-to-sofa-movement-roz-chast.jpg"
"2433","Trevor Spaulding","Winter Suited Volunteers Hold Out Dog Dishes","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/winter-suited-volunteers-hold-out-dog-dishes-trevor-spaulding.jpg"
"2434","Joe Dator","A Naked Man Sitting On A Tree Branch Is Talking","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-naked-man-sitting-on-a-tree-branch-is-talking-joe-dator.jpg"
"2435","David Jacobson","An Overweight Man Sits In His Underwear","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/an-overweight-man-sits-in-his-underwear-david-jacobson.jpg"
"2436","Robert Leighton","Newly-shorn Sheep Walk Out Of A Barn","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/newly-shorn-sheep-walk-out-of-a-barn-robert-leighton.jpg"
"2437","Paul Noth","Two Dogs Criticize A Cat Who Has Just Retrieved","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/two-dogs-criticize-a-cat-who-has-just-retrieved-paul-noth.jpg"
"2438","Zachary Kanin","The Tin Man Of The Wizard Of Oz Speaks","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/the-tin-man-of-the-wizard-of-oz-speaks-zachary-kanin.jpg"
"2439","Amy Hwang","A Mother Brings Her Son Into A Room Labeled","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-mother-brings-her-son-into-a-room-labeled-amy-hwang.jpg"
"2440","Drew Dernavich","Captain Ahab Stands Speaking At The Yellow Brick","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images/artworkimages/medium/1/captain-ahab-stands-speaking-at-the-yellow-brick-drew-dernavich.jpg"
"2441","Edward Koren","A Young Boy Walks Through A Room Of Adults","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-young-boy-walks-through-a-room-of-adults-edward-koren.jpg"
"2442","David Borchart","An Office Worker Lifts A Sheet And Finds Three","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/an-office-worker-lifts-a-sheet-and-finds-three-david-borchart.jpg"
"2443","Ken Krimstein","Two Cats Threaten An Old Lady","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/two-cats-threaten-an-old-lady-ken-krimstein.jpg"
"2444","Christopher Weyant","A Penguin Is Seen Talking To Another Penguin","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-penguin-is-seen-talking-to-another-penguin-christopher-weyant.jpg"
"2445","David Sipress","A Ceo Talks To His Board During A Board Meeting","$92","Drawing","https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/a-ceo-talks-to-his-board-during-a-board-meeting-david-sipress.jpg"
